league;season;team;game;date;time;round;day;venue;result;GF;GA;opponent;xG;xGA;Poss;Attendance;Captain;Formation;Opp Formation;Referee;match_report;Notes
;;;2021-11-20 Dortmund-Stuttgart;2021-11-20 00:00:00;15:30:00;Matchweek 12;Sat;Home;W;2;1;Stuttgart;2,2;1,6;64;57900;Marco Reus;4-2-3-1;3-1-4-2;Harm Osmers;/en/matches/5d6c4225/Dortmund-Stuttgart-November-20-2021-Bundesliga;
;;;2021-11-24 Sporting CP-Dortmund;2021-11-24 00:00:00;20:00:00;Group stage;Wed;Away;L;1;3;Sporting CP;1,6;1,9;64;41341;Marco Reus;4-2-3-1;3-4-3;Carlos del Cerro;/en/matches/a0bdb8f5/Sporting-CP-Dortmund-November-24-2021-Champions-League;
;;;2021-11-27 Wolfsburg-Dortmund;2021-11-27 00:00:00;15:30:00;Matchweek 13;Sat;Away;W;3;1;Wolfsburg;2,3;1,9;58;13281;Marco Reus;4-2-3-1;3-4-3;Sven Jablonski;/en/matches/47f3f7ed/Wolfsburg-Dortmund-November-27-2021-Bundesliga;
;;;2021-12-04 Dortmund-Bayern Munich;2021-12-04 00:00:00;18:30:00;Matchweek 14;Sat;Home;L;2;3;Bayern Munich;1,2;3,1;47;15000;Marco Reus;4-1-3-2;4-2-3-1;Felix Zwayer;/en/matches/e79b392a/Der-Klassiker-Dortmund-Bayern-Munich-December-4-2021-Bundesliga;
;;;2021-12-07 Dortmund-Beşiktaş;2021-12-07 00:00:00;21:00:00;Group stage;Tue;Home;W;5;0;Beşiktaş;3,5;0,1;70;15000;Marco Reus;4-3-3;4-2-3-1;François Letexier;/en/matches/9cf37489/Dortmund-Besiktas-December-7-2021-Champions-League;
;;;2021-12-11 Bochum-Dortmund;2021-12-11 00:00:00;15:30:00;Matchweek 15;Sat;Away;D;1;1;Bochum;2,3;0,9;67;13799;Marco Reus;4-2-3-1;4-1-4-1;Matthias Jöllenbeck;/en/matches/f8b45c28/Bochum-Dortmund-December-11-2021-Bundesliga;
;;;2021-12-15 Dortmund-Greuther Fürth;2021-12-15 00:00:00;20:30:00;Matchweek 16;Wed;Home;W;3;0;Greuther Fürth;1,8;0,4;68;15000;Marco Reus;4-2-3-1;4-3-3;Daniel Schlager;/en/matches/7e3c242f/Dortmund-Greuther-Furth-December-15-2021-Bundesliga;
;;;2021-12-18 Hertha BSC-Dortmund;2021-12-18 00:00:00;18:30:00;Matchweek 17;Sat;Away;L;2;3;Hertha BSC;1,3;1,2;59;5000;Marco Reus;4-2-3-1;4-2-2-2;Marco Fritz;/en/matches/6310e441/Hertha-BSC-Dortmund-December-18-2021-Bundesliga;
;;;2022-01-08 Eint Frankfurt-Dortmund;2022-01-08 00:00:00;18:30:00;Matchweek 18;Sat;Away;W;3;2;Eint Frankfurt;2;1,4;64;250;Marco Reus;4-3-3;3-4-3;Robert Schröder;/en/matches/b725ba28/Eintracht-Frankfurt-Dortmund-January-8-2022-Bundesliga;
;;;2022-01-14 Dortmund-Freiburg;2022-01-14 00:00:00;20:30:00;Matchweek 19;Fri;Home;W;5;1;Freiburg;2,4;0,9;66;750;Marco Reus;4-3-3;4-4-2;Florian Badstübner;/en/matches/e6e155ee/Dortmund-Freiburg-January-14-2022-Bundesliga;
;;;2022-01-18 St. Pauli-Dortmund;2022-01-18 00:00:00;20:45:00;Round of 16;Tue;Away;L;1;2;St. Pauli;;;69;2000;Marco Reus;4-3-3;4-3-1-2;Harm Osmers;/en/matches/2fe36106/St-Pauli-Dortmund-January-18-2022-DFB-Pokal;
;;;2022-01-22 Hoffenheim-Dortmund;2022-01-22 00:00:00;15:30:00;Matchweek 20;Sat;Away;W;3;2;Hoffenheim;1,6;1,7;42;500;Marco Reus;4-3-3;3-4-1-2;Deniz Aytekin;/en/matches/87ba1cfd/Hoffenheim-Dortmund-January-22-2022-Bundesliga;
;;;2022-02-06 Dortmund-Leverkusen;2022-02-06 00:00:00;15:30:00;Matchweek 21;Sun;Home;L;2;5;Leverkusen;1,7;2;64;10000;Marco Reus;4-3-3;4-2-3-1;Daniel Siebert;/en/matches/2574fa35/Dortmund-Bayer-Leverkusen-February-6-2022-Bundesliga;
;;;2022-02-13 Union Berlin-Dortmund;2022-02-13 00:00:00;15:30:00;Matchweek 22;Sun;Away;W;3;0;Union Berlin;2,2;1,2;60;10000;Marco Reus;4-3-3;5-3-2;Matthias Jöllenbeck;/en/matches/17dab886/Union-Berlin-Dortmund-February-13-2022-Bundesliga;
;;;2022-02-17 Dortmund-Rangers;2022-02-17 00:00:00;18:45:00;Knockout round play-offs;Thu;Home;L;2;4;Rangers;1,5;2,1;64;10000;Marco Reus;4-2-3-1;4-2-3-1;Clément Turpin;/en/matches/1df1b20d/Dortmund-Rangers-February-17-2022-Europa-League;Leg 1 of 2
;;;2022-02-20 Dortmund-Gladbach;2022-02-20 00:00:00;17:30:00;Matchweek 23;Sun;Home;W;6;0;Gladbach;3,8;0,9;50;10000;Marco Reus;3-4-3;3-4-3;Marco Fritz;/en/matches/43a215f9/Dortmund-Monchengladbach-February-20-2022-Bundesliga;
;;;2022-02-24 Rangers-Dortmund;2022-02-24 00:00:00;20:00:00;Knockout round play-offs;Thu;Away;D;2;2;Rangers;3,6;1,7;65;47709;Marco Reus;4-2-3-1;4-2-3-1;Antonio Matéu Lahoz;/en/matches/9a632288/Rangers-Dortmund-February-24-2022-Europa-League;"Leg 2 of 2; Rangers won"
;;;2022-02-27 Augsburg-Dortmund;2022-02-27 00:00:00;17:30:00;Matchweek 24;Sun;Away;D;1;1;Augsburg;0,6;0,8;64;15330;Mats Hummels;3-5-2;3-4-1-2;Deniz Aytekin;/en/matches/da6f8ee7/Augsburg-Dortmund-February-27-2022-Bundesliga;
;;;2022-03-13 Dortmund-Arminia;2022-03-13 00:00:00;17:30:00;Matchweek 26;Sun;Home;W;1;0;Arminia;2;0,7;59;33000;Axel Witsel;4-2-3-1;4-2-3-1;Bastian Dankert;/en/matches/c92636c1/Dortmund-Arminia-March-13-2022-Bundesliga;
;;;2022-03-16 Mainz 05-Dortmund;2022-03-16 00:00:00;18:30:00;Matchweek 25;Wed;Away;W;1;0;Mainz 05;0,8;0,9;59;25000;Axel Witsel;4-2-3-1;3-4-3;Sascha Stegemann;/en/matches/2abd2132/Mainz-05-Dortmund-March-16-2022-Bundesliga;
;;;2022-03-20 Köln-Dortmund;2022-03-20 00:00:00;19:30:00;Matchweek 27;Sun;Away;D;1;1;Köln;1,2;1,1;46;50000;Axel Witsel;4-1-4-1;4-1-3-2;Daniel Siebert;/en/matches/4e9be983/Koln-Dortmund-March-20-2022-Bundesliga;
;;;2022-04-02 Dortmund-RB Leipzig;2022-04-02 00:00:00;18:30:00;Matchweek 28;Sat;Home;L;1;4;RB Leipzig;0,7;1,1;64;81365;Marco Reus;3-4-3;3-5-2;Marco Fritz;/en/matches/142e57da/Dortmund-RB-Leipzig-April-2-2022-Bundesliga;
;;;2022-04-08 Stuttgart-Dortmund;2022-04-08 00:00:00;20:30:00;Matchweek 29;Fri;Away;W;2;0;Stuttgart;1,9;1,7;58;58248;Marco Reus;4-2-3-1;4-3-3;Harm Osmers;/en/matches/19e1bbea/Stuttgart-Dortmund-April-8-2022-Bundesliga;
;;;2022-04-16 Dortmund-Wolfsburg;2022-04-16 00:00:00;15:30:00;Matchweek 30;Sat;Home;W;6;1;Wolfsburg;3;1,5;60;79200;Marco Reus;3-4-3;3-4-3;Robert Schröder;/en/matches/2692dcc4/Dortmund-Wolfsburg-April-16-2022-Bundesliga;
;;;2022-04-23 Bayern Munich-Dortmund;2022-04-23 00:00:00;18:30:00;Matchweek 31;Sat;Away;L;1;3;Bayern Munich;1,3;1,7;42;75000;Marco Reus;4-2-3-1;4-2-3-1;Daniel Siebert;/en/matches/8c04e2e7/Der-Klassiker-Bayern-Munich-Dortmund-April-23-2022-Bundesliga;
;;;2022-04-30 Dortmund-Bochum;2022-04-30 00:00:00;15:30:00;Matchweek 32;Sat;Home;L;3;4;Bochum;4;1,6;69;81365;Marco Reus;4-2-3-1;4-3-3;Robert Hartmann;/en/matches/257ad808/Dortmund-Bochum-April-30-2022-Bundesliga;
;;;2022-05-07 Greuther Fürth-Dortmund;2022-05-07 00:00:00;15:30:00;Matchweek 33;Sat;Away;W;3;1;Greuther Fürth;1,5;1,3;57;16600;Marco Reus;3-4-3;3-1-4-2;Christian Dingert;/en/matches/d1f394f3/Greuther-Furth-Dortmund-May-7-2022-Bundesliga;
;;;2022-05-14 Dortmund-Hertha BSC;2022-05-14 00:00:00;15:30:00;Matchweek 34;Sat;Home;W;2;1;Hertha BSC;1,3;1;73;80500;Marco Reus;3-4-3;4-2-3-1;Tobias Stieler;/en/matches/86428aab/Dortmund-Hertha-BSC-May-14-2022-Bundesliga;
;;Eint Frankfurt;2021-08-08 SV Waldhof-Eint Frankfurt;2021-08-08 00:00:00;15:30:00;Round of 64;Sun;Away;L;0;2;SV Waldhof;;;73;11000;Sebastian Rode;3-4-3;4-2-3-1;Sascha Stegemann;/en/matches/cf053d2a/SV-Waldhof-Eintracht-Frankfurt-August-8-2021-DFB-Pokal;
;;;2021-08-14 Dortmund-Eint Frankfurt;2021-08-14 00:00:00;18:30:00;Matchweek 1;Sat;Away;L;2;5;Dortmund;1,3;2,7;40;25000;Makoto Hasebe;3-4-3;4-2-3-1;Tobias Stieler;/en/matches/40d5c11f/Dortmund-Eintracht-Frankfurt-August-14-2021-Bundesliga;
;;;2021-08-21 Eint Frankfurt-Augsburg;2021-08-21 00:00:00;15:30:00;Matchweek 2;Sat;Home;D;0;0;Augsburg;1,6;0,3;61;22000;Martin Hinteregger;4-2-3-1;4-2-3-1;Harm Osmers;/en/matches/d0031b17/Eintracht-Frankfurt-Augsburg-August-21-2021-Bundesliga;
;;;2021-08-28 Arminia-Eint Frankfurt;2021-08-28 00:00:00;15:30:00;Matchweek 3;Sat;Away;D;1;1;Arminia;1,5;0,6;65;13750;Martin Hinteregger;4-2-3-1;4-4-2;Bastian Dankert;/en/matches/af8e306b/Arminia-Eintracht-Frankfurt-August-28-2021-Bundesliga;
;;;2021-09-12 Eint Frankfurt-Stuttgart;2021-09-12 00:00:00;15:30:00;Matchweek 4;Sun;Home;D;1;1;Stuttgart;1,1;0,9;58;25000;Martin Hinteregger;4-2-3-1;3-4-3;Matthias Jöllenbeck;/en/matches/50ca4178/Eintracht-Frankfurt-Stuttgart-September-12-2021-Bundesliga;
;;;2021-09-16 Eint Frankfurt-Fenerbahçe;2021-09-16 00:00:00;21:00:00;Group stage;Thu;Home;D;1;1;Fenerbahçe;1;2,4;56;25000;Martin Hinteregger;4-4-2;3-4-3;Maurizio Mariani;/en/matches/df076ec8/Eintracht-Frankfurt-Fenerbahce-September-16-2021-Europa-League;
;;;2021-09-19 Wolfsburg-Eint Frankfurt;2021-09-19 00:00:00;19:30:00;Matchweek 5;Sun;Away;D;1;1;Wolfsburg;0,3;1,2;40;9266;Martin Hinteregger;4-2-3-1;4-2-3-1;Felix Zwayer;/en/matches/1d1a48ef/Wolfsburg-Eintracht-Frankfurt-September-19-2021-Bundesliga;
;;;2021-09-25 Eint Frankfurt-Köln;2021-09-25 00:00:00;15:30:00;Matchweek 6;Sat;Home;D;1;1;Köln;0,9;0,9;46;24000;Martin Hinteregger;4-2-3-1;4-1-2-1-2;Martin Petersen;/en/matches/6f2e488a/Eintracht-Frankfurt-Koln-September-25-2021-Bundesliga;
;;;2021-09-30 Antwerp-Eint Frankfurt;2021-09-30 00:00:00;18:45:00;Group stage;Thu;Away;W;1;0;Antwerp;1,7;0,7;57;13183;Makoto Hasebe;3-4-1-2;4-4-2;Jakob Kehlet;/en/matches/ca2ab01e/Antwerp-Eintracht-Frankfurt-September-30-2021-Europa-League;
;;;2021-10-03 Bayern Munich-Eint Frankfurt;2021-10-03 00:00:00;17:30:00;Matchweek 7;Sun;Away;W;2;1;Bayern Munich;0,8;2,2;28;25000;Martin Hinteregger;3-4-3;4-2-3-1;Florian Badstübner;/en/matches/d787a390/Bayern-Munich-Eintracht-Frankfurt-October-3-2021-Bundesliga;
;;;2021-10-16 Eint Frankfurt-Hertha BSC;2021-10-16 00:00:00;15:30:00;Matchweek 8;Sat;Home;L;1;2;Hertha BSC;1,6;1,8;58;32000;Makoto Hasebe;3-4-1-2;4-2-3-1;Deniz Aytekin;/en/matches/0acbd0c7/Eintracht-Frankfurt-Hertha-BSC-October-16-2021-Bundesliga;
;;;2021-10-21 Eint Frankfurt-Olympiacos;2021-10-21 00:00:00;21:00:00;Group stage;Thu;Home;W;3;1;Olympiacos;3,1;1,3;51;35000;Makoto Hasebe;3-4-1-2;4-3-3;Tiago Martins;/en/matches/103e911d/Eintracht-Frankfurt-Olympiacos-October-21-2021-Europa-League;
;;;2021-10-24 Bochum-Eint Frankfurt;2021-10-24 00:00:00;19:30:00;Matchweek 9;Sun;Away;L;0;2;Bochum;1,6;2,1;59;19510;Makoto Hasebe;3-4-1-2;4-3-3;Marco Fritz;/en/matches/978265c8/Bochum-Eintracht-Frankfurt-October-24-2021-Bundesliga;
;;;2021-10-30 Eint Frankfurt-RB Leipzig;2021-10-30 00:00:00;18:30:00;Matchweek 10;Sat;Home;D;1;1;RB Leipzig;0,6;3;47;31000;Kevin Trapp;3-4-3;3-4-3;Daniel Schlager;/en/matches/17b265aa/Eintracht-Frankfurt-RB-Leipzig-October-30-2021-Bundesliga;
;;;2021-11-04 Olympiacos-Eint Frankfurt;2021-11-04 00:00:00;19:45:00;Group stage;Thu;Away;W;2;1;Olympiacos;0,9;1,4;47;23050;Makoto Hasebe;3-4-1-2;4-2-3-1;Aliaksei Kulbakou;/en/matches/81017586/Olympiacos-Eintracht-Frankfurt-November-4-2021-Europa-League;
;;;2021-11-07 Greuther Fürth-Eint Frankfurt;2021-11-07 00:00:00;19:30:00;Matchweek 11;Sun;Away;W;2;1;Greuther Fürth;1,2;2,4;46;10244;Martin Hinteregger;3-4-3;4-3-3;Daniel Siebert;/en/matches/d6e5c0fb/Greuther-Furth-Eintracht-Frankfurt-November-7-2021-Bundesliga;
;;;2021-11-21 Freiburg-Eint Frankfurt;2021-11-21 00:00:00;15:30:00;Matchweek 12;Sun;Away;W;2;0;Freiburg;1,2;1,4;38;32500;Makoto Hasebe;3-4-3;3-4-3;Florian Badstübner;/en/matches/795e2fe3/Freiburg-Eintracht-Frankfurt-November-21-2021-Bundesliga;
;;;2021-11-25 Eint Frankfurt-Antwerp;2021-11-25 00:00:00;21:00:00;Group stage;Thu;Home;D;2;2;Antwerp;1,6;1,2;58;30000;Makoto Hasebe;3-4-3;4-3-1-2;Paul Tierney;/en/matches/7be8e2e2/Eintracht-Frankfurt-Antwerp-November-25-2021-Europa-League;
;;;2021-11-28 Eint Frankfurt-Union Berlin;2021-11-28 00:00:00;15:30:00;Matchweek 13;Sun;Home;W;2;1;Union Berlin;1,3;1,1;54;24000;Makoto Hasebe;3-4-3;3-5-2;Sascha Stegemann;/en/matches/00b3ef3c/Eintracht-Frankfurt-Union-Berlin-November-28-2021-Bundesliga;
;;;2021-12-04 Hoffenheim-Eint Frankfurt;2021-12-04 00:00:00;15:30:00;Matchweek 14;Sat;Away;L;2;3;Hoffenheim;1,5;0,9;51;;Makoto Hasebe;3-4-3;3-4-3;Daniel Schlager;/en/matches/5ef82595/Hoffenheim-Eintracht-Frankfurt-December-4-2021-Bundesliga;
;;;2021-12-09 Fenerbahçe-Eint Frankfurt;2021-12-09 00:00:00;20:45:00;Group stage;Thu;Away;D;1;1;Fenerbahçe;1;0,6;57;8932;Makoto Hasebe;3-4-3;3-4-3;Srđan Jovanović;/en/matches/cb8f7582/Fenerbahce-Eintracht-Frankfurt-December-9-2021-Europa-League;
;;;2021-12-12 Eint Frankfurt-Leverkusen;2021-12-12 00:00:00;17:30:00;Matchweek 15;Sun;Home;W;5;2;Leverkusen;1,6;1,7;44;12000;Martin Hinteregger;3-4-3;4-2-3-1;Marco Fritz;/en/matches/4495c77f/Eintracht-Frankfurt-Bayer-Leverkusen-December-12-2021-Bundesliga;
;;;2021-12-15 Gladbach-Eint Frankfurt;2021-12-15 00:00:00;18:30:00;Matchweek 16;Wed;Away;W;3;2;Gladbach;2,3;2;43;10028;Martin Hinteregger;3-4-3;3-4-3;Martin Petersen;/en/matches/f524f9e4/Monchengladbach-Eintracht-Frankfurt-December-15-2021-Bundesliga;
;;;2021-12-18 Eint Frankfurt-Mainz 05;2021-12-18 00:00:00;15:30:00;Matchweek 17;Sat;Home;W;1;0;Mainz 05;1,8;0,6;51;15000;Sebastian Rode;3-4-3;3-5-2;Felix Brych;/en/matches/e887cbac/Eintracht-Frankfurt-Mainz-05-December-18-2021-Bundesliga;
;;;2022-01-08 Eint Frankfurt-Dortmund;2022-01-08 00:00:00;18:30:00;Matchweek 18;Sat;Home;L;2;3;Dortmund;1,4;2;36;250;Sebastian Rode;3-4-3;4-3-3;Robert Schröder;/en/matches/b725ba28/Eintracht-Frankfurt-Dortmund-January-8-2022-Bundesliga;
;;;2022-01-16 Augsburg-Eint Frankfurt;2022-01-16 00:00:00;15:30:00;Matchweek 19;Sun;Away;D;1;1;Augsburg;2,6;1;51;;Sebastian Rode;3-4-3;4-4-2;Sven Jablonski;/en/matches/c63c7a3d/Augsburg-Eintracht-Frankfurt-January-16-2022-Bundesliga;
;;;2022-01-21 Eint Frankfurt-Arminia;2022-01-21 00:00:00;20:30:00;Matchweek 20;Fri;Home;L;0;2;Arminia;1,9;1,3;68;1000;Sebastian Rode;3-4-3;4-3-3;Tobias Reichel;/en/matches/3347ee68/Eintracht-Frankfurt-Arminia-January-21-2022-Bundesliga;
;;;2022-02-05 Stuttgart-Eint Frankfurt;2022-02-05 00:00:00;15:30:00;Matchweek 21;Sat;Away;W;3;2;Stuttgart;1,1;1,5;48;10000;Sebastian Rode;3-5-2;4-4-2;Sascha Stegemann;/en/matches/05500317/Stuttgart-Eintracht-Frankfurt-February-5-2022-Bundesliga;
;;;2022-02-12 Eint Frankfurt-Wolfsburg;2022-02-12 00:00:00;15:30:00;Matchweek 22;Sat;Home;L;0;2;Wolfsburg;1;1,5;61;10000;Martin Hinteregger;3-4-3;3-4-3;Frank Willenborg;/en/matches/5dfa02fd/Eintracht-Frankfurt-Wolfsburg-February-12-2022-Bundesliga;
;;;2022-02-19 Köln-Eint Frankfurt;2022-02-19 00:00:00;18:30:00;Matchweek 23;Sat;Away;L;0;1;Köln;0,6;1,1;42;10000;Sebastian Rode;3-1-4-2;4-2-3-1;Christian Dingert;/en/matches/7c56c1bf/Koln-Eintracht-Frankfurt-February-19-2022-Bundesliga;
;;;2022-02-26 Eint Frankfurt-Bayern Munich;2022-02-26 00:00:00;18:30:00;Matchweek 24;Sat;Home;L;0;1;Bayern Munich;0,9;2,4;32;25000;Kevin Trapp;3-4-3;3-4-3;Florian Badstübner;/en/matches/a94ebd93/Eintracht-Frankfurt-Bayern-Munich-February-26-2022-Bundesliga;
;;;2022-03-05 Hertha BSC-Eint Frankfurt;2022-03-05 00:00:00;15:30:00;Matchweek 25;Sat;Away;W;4;1;Hertha BSC;1,2;0,4;53;25000;Kevin Trapp;3-4-3;4-3-3;Harm Osmers;/en/matches/bc979cc2/Hertha-BSC-Eintracht-Frankfurt-March-5-2022-Bundesliga;
;;;2022-03-09 Betis-Eint Frankfurt;2022-03-09 00:00:00;18:45:00;Round of 16;Wed;Away;W;2;1;Betis;2,5;0,9;36;36574;Kevin Trapp;3-4-3;4-2-3-1;Marco Guida;/en/matches/a2abf3a2/Real-Betis-Eintracht-Frankfurt-March-9-2022-Europa-League;Leg 1 of 2
;;;2022-03-13 Eint Frankfurt-Bochum;2022-03-13 00:00:00;17:30:00;Matchweek 26;Sun;Home;W;2;1;Bochum;1,8;1,1;53;24000;Kevin Trapp;3-4-3;4-1-4-1;Marco Fritz;/en/matches/d36290e1/Eintracht-Frankfurt-Bochum-March-13-2022-Bundesliga;
;;;2022-03-17 Eint Frankfurt-Betis;2022-03-17 00:00:00;21:00:00;Round of 16;Thu;Home;D;1;1;Betis;1,5;2,2;46;25000;Kevin Trapp;3-4-3;4-2-3-1;Michael Oliver;/en/matches/31551cdb/Eintracht-Frankfurt-Real-Betis-March-17-2022-Europa-League;"Leg 2 of 2; Eint Frankfurt won; Required Extra Time"
;;;2022-03-20 RB Leipzig-Eint Frankfurt;2022-03-20 00:00:00;15:30:00;Matchweek 27;Sun;Away;D;0;0;RB Leipzig;0,2;1,2;45;43058;Sebastian Rode;3-1-4-2;3-4-1-2;Christian Dingert;/en/matches/5245b27f/RB-Leipzig-Eintracht-Frankfurt-March-20-2022-Bundesliga;
;;;2022-04-02 Eint Frankfurt-Greuther Fürth;2022-04-02 00:00:00;15:30:00;Matchweek 28;Sat;Home;D;0;0;Greuther Fürth;1,2;0,6;67;50500;Makoto Hasebe;3-5-2;3-4-1-2;Bastian Dankert;/en/matches/84dfca9b/Eintracht-Frankfurt-Greuther-Furth-April-2-2022-Bundesliga;
;;;2022-04-07 Eint Frankfurt-Barcelona;2022-04-07 00:00:00;21:00:00;Quarter-finals;Thu;Home;D;1;1;Barcelona;1,4;0,9;35;48000;Kevin Trapp;3-4-3;4-3-3;Srđan Jovanović;/en/matches/16c0bd90/Eintracht-Frankfurt-Barcelona-April-7-2022-Europa-League;Leg 1 of 2
;;;2022-04-10 Eint Frankfurt-Freiburg;2022-04-10 00:00:00;17:30:00;Matchweek 29;Sun;Home;L;1;2;Freiburg;0,9;1;54;47000;Sebastian Rode;3-4-3;4-4-1-1;Felix Brych;/en/matches/e7491da8/Eintracht-Frankfurt-Freiburg-April-10-2022-Bundesliga;
;;;2022-04-14 Barcelona-Eint Frankfurt;2022-04-14 00:00:00;21:00:00;Quarter-finals;Thu;Away;W;3;2;Barcelona;2;2,6;26;79468;Sebastian Rode;3-4-3;4-3-3;Artur Dias;/en/matches/e1750f9b/Barcelona-Eintracht-Frankfurt-April-14-2022-Europa-League;"Leg 2 of 2; Eint Frankfurt won"
;;;2022-04-17 Union Berlin-Eint Frankfurt;2022-04-17 00:00:00;17:30:00;Matchweek 30;Sun;Away;L;0;2;Union Berlin;0,5;1,1;56;22000;Martin Hinteregger;3-4-3;3-5-2;Frank Willenborg;/en/matches/1155fe35/Union-Berlin-Eintracht-Frankfurt-April-17-2022-Bundesliga;
;;;2022-04-23 Eint Frankfurt-Hoffenheim;2022-04-23 00:00:00;15:30:00;Matchweek 31;Sat;Home;D;2;2;Hoffenheim;1,3;0,7;50;50500;Sebastian Rode;3-4-3;3-4-3;Sven Jablonski;/en/matches/10162268/Eintracht-Frankfurt-Hoffenheim-April-23-2022-Bundesliga;
;;;2022-04-28 West Ham-Eint Frankfurt;2022-04-28 00:00:00;20:00:00;Semi-finals;Thu;Away;W;2;1;West Ham;1,6;2,4;46;60000;Sebastian Rode;3-4-3;4-2-3-1;Serdar Gözübüyük;/en/matches/d13fde6b/West-Ham-United-Eintracht-Frankfurt-April-28-2022-Europa-League;Leg 1 of 2
;;;2022-05-02 Leverkusen-Eint Frankfurt;2022-05-02 00:00:00;20:30:00;Matchweek 32;Mon;Away;L;0;2;Leverkusen;0,3;1,8;45;26492;Makoto Hasebe;3-4-3;4-2-3-1;Benjamin Cortus;/en/matches/a2953956/Bayer-Leverkusen-Eintracht-Frankfurt-May-2-2022-Bundesliga;
;;;2022-05-05 Eint Frankfurt-West Ham;2022-05-05 00:00:00;21:00:00;Semi-finals;Thu;Home;W;1;0;West Ham;1,1;1,6;63;48000;Sebastian Rode;3-4-3;3-4-3;Jesús Gil;/en/matches/349e86a7/Eintracht-Frankfurt-West-Ham-United-May-5-2022-Europa-League;"Leg 2 of 2; Eint Frankfurt won"
;;;2022-05-08 Eint Frankfurt-Gladbach;2022-05-08 00:00:00;15:30:00;Matchweek 33;Sun;Home;D;1;1;Gladbach;0,8;1,4;47;51500;Makoto Hasebe;3-5-2;3-4-3;Felix Zwayer;/en/matches/b9b0b83a/Eintracht-Frankfurt-Monchengladbach-May-8-2022-Bundesliga;
;;;2022-05-14 Mainz 05-Eint Frankfurt;2022-05-14 00:00:00;15:30:00;Matchweek 34;Sat;Away;D;2;2;Mainz 05;1,6;1,3;51;33000;Sebastian Rode;3-4-3;3-4-3;Martin Petersen;/en/matches/976cf786/Mainz-05-Eintracht-Frankfurt-May-14-2022-Bundesliga;
;;;2022-05-18 Rangers-Rangers;2022-05-18 00:00:00;21:00:00;Final;Wed;Neutral;D;1 (5);1 (4);Rangers;1,9;1,1;48;;Sebastian Rode;3-4-3;4-3-3;Slavko Vinčič;/en/matches/a068c6d0/Eintracht-Frankfurt-Rangers-May-18-2022-Europa-League;Eint Frankfurt won on penalty kicks following extra time
;;Freiburg;2021-08-08 W'burg Kickers-Freiburg;2021-08-08 00:00:00;18:30:00;Round of 64;Sun;Away;W;1;0;W'burg Kickers;;;65;2820;Christian Günter;3-4-3;4-4-2;Benjamin Brand;/en/matches/40b4918c/Wurzburger-Kickers-Freiburg-August-8-2021-DFB-Pokal;
;;;2021-08-14 Arminia-Freiburg;2021-08-14 00:00:00;15:30:00;Matchweek 1;Sat;Away;D;0;0;Arminia;1,6;0,4;55;13750;Christian Günter;3-4-3;4-1-2-1-2;Sven Jablonski;/en/matches/e4331e7c/Arminia-Freiburg-August-14-2021-Bundesliga;
;;;2021-08-21 Freiburg-Dortmund;2021-08-21 00:00:00;15:30:00;Matchweek 2;Sat;Home;W;2;1;Dortmund;1,3;1,6;24;10100;Christian Günter;4-4-2;4-1-2-1-2;Robert Schröder;/en/matches/98aa6a98/Freiburg-Dortmund-August-21-2021-Bundesliga;
;;;2021-08-28 Stuttgart-Freiburg;2021-08-28 00:00:00;15:30:00;Matchweek 3;Sat;Away;W;3;2;Stuttgart;1,3;1,8;36;25000;Christian Günter;4-4-2;3-4-3;Frank Willenborg;/en/matches/8275ba5e/Stuttgart-Freiburg-August-28-2021-Bundesliga;
;;;2021-09-11 Freiburg-Köln;2021-09-11 00:00:00;15:30:00;Matchweek 4;Sat;Home;D;1;1;Köln;0,8;1,1;54;10000;Christian Günter;4-4-2;4-1-3-2;Harm Osmers;/en/matches/09be4ced/Freiburg-Koln-September-11-2021-Bundesliga;
;;;2021-09-18 Mainz 05-Freiburg;2021-09-18 00:00:00;15:30:00;Matchweek 5;Sat;Away;D;0;0;Mainz 05;0,4;0,9;54;13500;Christian Günter;3-4-3;3-5-2;Benjamin Brand;/en/matches/d6ab6aa6/Mainz-05-Freiburg-September-18-2021-Bundesliga;
;;;2021-09-26 Freiburg-Augsburg;2021-09-26 00:00:00;17:30:00;Matchweek 6;Sun;Home;W;3;0;Augsburg;3,1;0,2;59;14400;Christian Günter;3-4-3;3-5-2;Daniel Schlager;/en/matches/c53a65fe/Freiburg-Augsburg-September-26-2021-Bundesliga;
;;;2021-10-02 Hertha BSC-Freiburg;2021-10-02 00:00:00;15:30:00;Matchweek 7;Sat;Away;W;2;1;Hertha BSC;0,7;1;56;18376;Christian Günter;3-4-3;3-4-3;Patrick Ittrich;/en/matches/e8fc2a86/Hertha-BSC-Freiburg-October-2-2021-Bundesliga;
;;;2021-10-16 Freiburg-RB Leipzig;2021-10-16 00:00:00;15:30:00;Matchweek 8;Sat;Home;D;1;1;RB Leipzig;1,4;1,7;53;20000;Christian Günter;3-4-3;4-3-3;Daniel Siebert;/en/matches/42f54f57/Freiburg-RB-Leipzig-October-16-2021-Bundesliga;
;;;2021-10-23 Wolfsburg-Freiburg;2021-10-23 00:00:00;15:30:00;Matchweek 9;Sat;Away;W;2;0;Wolfsburg;1,5;1,3;44;10251;Christian Günter;3-4-3;4-3-3;Tobias Welz;/en/matches/9a217927/Wolfsburg-Freiburg-October-23-2021-Bundesliga;
